,Domain,Receive Time,Serial #,Type,Threat/Content Type,Config Version,Generate Time,Source address,Destination address,NAT Source IP,NAT Destination IP,Rule,Source User,Destination User,Application,Virtual System,Source Zone,Destination Zone,Inbound Interface,Outbound Interface,Log Action,Time Logged,Session ID,Repeat Count,Source Port,Destination Port,NAT Source Port,NAT Destination Port,Flags,IP Protocol,Action,Bytes,Bytes Sent,Bytes Received,Packets,Start Time,Elapsed Time (sec),Category,Unnamed: 38,Sequence Number,Action Flags,Source Country,Destination Country,Unnamed: 43,Packets Sent,Packets Received,Session End Reason,DG Hierarchy Level 1,DG Hierarchy Level 2,DG Hierarchy Level 3,DG Hierarchy Level 4,Virtual System Name,Device Name,Action Source,Source VM UUID,Destination VM UUID,Tunnel ID/IMSI,Monitor Tag/IMEI,Parent Session ID,Parent Session Start Time,Tunnel,SCTP Association ID,SCTP Chunks,SCTP Chunks Sent,SCTP Chunks Received,UUID for rule,HTTP/2 Connection,link_change_count,policy_id,link_switches,sdwan_cluster,sdwan_device_type,sdwan_cluster_type,sdwan_site,dynusergroup_name,XFF address,Source Device Category,Source Device Profile,Source Device Model,Source Device Vendor,Source Device OS Family,Source Device OS Version,Source Hostname,Source Mac Address,Destination Device Category,Destination Device Profile,Destination Device Model,Destination Device Vendor,Destination Device OS Family,Destination Device OS Version,Destination Hostname,Destination Mac Address,Container ID,POD Namespace,POD Name,Source External Dynamic List,Destination External Dynamic List,Host ID,Serial Number,Source Dynamic Address Group,Destination Dynamic Address Group,session_owner,High Res Timestamp,nssai_sst,nssai_sd,Subcategory of app,Category of app,Technology of app,Risk of app,Characteristic of app,Container of app,Tunneled app,SaaS of app,Sanctioned State of app,offloaded
6049,1,2025/03/03 15:43:55,21201168048,TRAFFIC,start,2562,2025/03/03 15:43:55,192.168.11.36,192.168.10.13,,,untrunt to trust,,,web-browsing,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 15:43:55,814,1,52240,80,0,0,0x0,tcp,allow,300,226,74,4,2025/03/03 15:43:55,0,any,,7477495945886696857,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,3,1,,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T15:43:55.174+07:00,,,internet-utility,general-internet,browser-based,4,"used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use",,web-browsing,no,no,0
982,1,2025/03/03 15:50:16,21201168048,TRAFFIC,end,2562,2025/03/03 15:50:16,192.168.11.36,192.168.10.13,,,untrunt to trust,,,web-browsing,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 15:50:16,2631,1,37086,80,0,0,0x1c,tcp,allow,1974,890,1084,18,2025/03/03 15:49:15,45,any,,7477495945886701924,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,9,9,tcp-fin,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T15:50:16.250+07:00,,,internet-utility,general-internet,browser-based,4,"used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use",,web-browsing,no,no,0
132,1,2025/03/03 15:51:39,21201168048,TRAFFIC,end,2562,2025/03/03 15:51:39,192.168.11.36,192.168.10.13,,,untrunt to trust,,,web-browsing,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 15:51:39,3934,1,40504,80,0,0,0x1c,tcp,allow,2266,1050,1216,22,2025/03/03 15:50:25,59,any,,7477495945886702774,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,11,11,tcp-fin,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T15:51:39.913+07:00,,,internet-utility,general-internet,browser-based,4,"used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use",,web-browsing,no,no,0
1047,1,2025/03/03 15:50:11,21201168048,TRAFFIC,end,2562,2025/03/03 15:50:11,192.168.11.36,192.168.10.13,,,untrunt to trust,,,web-browsing,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 15:50:11,2548,1,36274,80,0,0,0x1c,tcp,allow,1968,884,1084,18,2025/03/03 15:49:15,41,any,,7477495945886701859,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,9,9,tcp-fin,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T15:50:11.377+07:00,,,internet-utility,general-internet,browser-based,4,"used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use",,web-browsing,no,no,0
230,1,2025/03/03 15:51:34,21201168048,TRAFFIC,end,2562,2025/03/03 15:51:34,192.168.11.36,192.168.10.13,,,untrunt to trust,,,web-browsing,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 15:51:34,3162,1,41876,80,0,0,0x1c,tcp,allow,5060,3580,1480,42,2025/03/03 15:49:16,123,any,,7477495945886702676,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,27,15,tcp-fin,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T15:51:34.377+07:00,,,internet-utility,general-internet,browser-based,4,"used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use",,web-browsing,no,no,0
1918,1,2025/03/03 15:49:33,21201168048,TRAFFIC,end,2562,2025/03/03 15:49:33,192.168.11.36,192.168.10.13,,,untrunt to trust,,,incomplete,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 15:49:33,3230,1,42476,80,0,0,0x19,tcp,allow,592,592,0,8,2025/03/03 15:49:16,12,any,,7477495945886700988,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,8,0,aged-out,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T15:49:33.250+07:00,,,unknown,unknown,unknown,1,,,incomplete,no,no,0
1891,1,2025/03/03 15:49:33,21201168048,TRAFFIC,end,2562,2025/03/03 15:49:33,192.168.11.36,192.168.10.13,,,untrunt to trust,,,incomplete,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 15:49:33,3354,1,43532,80,0,0,0x19,tcp,allow,592,592,0,8,2025/03/03 15:49:17,11,any,,7477495945886701015,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,8,0,aged-out,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T15:49:33.251+07:00,,,unknown,unknown,unknown,1,,,incomplete,no,no,0
7296,1,2025/03/03 15:42:33,21201168048,TRAFFIC,start,2562,2025/03/03 15:42:33,192.168.11.36,192.168.10.13,,,untrunt to trust,,,web-browsing,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 15:42:33,237,1,48488,80,0,0,0x0,tcp,allow,301,227,74,4,2025/03/03 15:42:33,0,any,,7477495945886695610,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,3,1,,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T15:42:33.520+07:00,,,internet-utility,general-internet,browser-based,4,"used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use",,web-browsing,no,no,0
1034,1,2025/03/03 15:50:11,21201168048,TRAFFIC,end,2562,2025/03/03 15:50:11,192.168.11.36,192.168.10.13,,,untrunt to trust,,,web-browsing,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 15:50:11,2592,1,36708,80,0,0,0x1c,tcp,allow,1943,859,1084,18,2025/03/03 15:49:15,41,any,,7477495945886701872,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,9,9,tcp-fin,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T15:50:11.377+07:00,,,internet-utility,general-internet,browser-based,4,"used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use",,web-browsing,no,no,0
2966,1,2025/03/03 15:48:11,21201168048,TRAFFIC,end,2562,2025/03/03 15:48:11,192.168.11.36,192.168.10.13,,,untrunt to trust,,,web-browsing,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 15:48:11,2059,1,41362,80,0,0,0x1a,tcp,allow,1628,742,886,14,2025/03/03 15:47:17,39,any,,7477495945886699940,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,8,6,tcp-rst-from-client,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T15:48:11.254+07:00,,,internet-utility,general-internet,browser-based,4,"used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use",,web-browsing,no,no,0
6115,1,2025/03/03 15:43:54,21201168048,TRAFFIC,start,2562,2025/03/03 15:43:54,192.168.11.36,192.168.10.13,,,untrunt to trust,,,web-browsing,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 15:43:54,748,1,51676,80,0,0,0x0,tcp,allow,301,227,74,4,2025/03/03 15:43:55,0,any,,7477495945886696791,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,3,1,,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T15:43:55.117+07:00,,,internet-utility,general-internet,browser-based,4,"used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use",,web-browsing,no,no,0
3497,1,2025/03/03 15:47:32,21201168048,TRAFFIC,end,2562,2025/03/03 15:47:32,192.168.11.36,192.168.10.13,,,untrunt to trust,,,web-browsing,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 15:47:32,1773,1,45936,80,0,0,0x1b,tcp,allow,1686,740,946,15,2025/03/03 15:46:17,60,any,,7477495945886699409,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,8,7,tcp-rst-from-server,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T15:47:32.379+07:00,,,internet-utility,general-internet,browser-based,4,"used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use",,web-browsing,no,no,0
1662,1,2025/03/03 15:49:35,21201168048,TRAFFIC,start,2562,2025/03/03 15:49:35,192.168.11.36,192.168.10.13,,,untrunt to trust,,,web-browsing,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 15:49:35,3521,1,42516,80,0,0,0x0,tcp,allow,433,359,74,4,2025/03/03 15:49:36,0,any,,7477495945886701244,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,3,1,,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T15:49:36.111+07:00,,,internet-utility,general-internet,browser-based,4,"used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use",,web-browsing,no,no,0
5413,1,2025/03/03 15:45:02,21201168048,TRAFFIC,end,2562,2025/03/03 15:45:02,192.168.11.36,192.168.10.13,,,untrunt to trust,,,web-browsing,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 15:45:02,884,1,52864,80,0,0,0x1b,tcp,allow,2258,1048,1210,23,2025/03/03 15:43:55,50,any,,7477495945886697493,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,12,11,tcp-rst-from-server,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T15:45:02.252+07:00,,,internet-utility,general-internet,browser-based,4,"used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use",,web-browsing,no,no,0
1922,1,2025/03/03 15:49:33,21201168048,TRAFFIC,end,2562,2025/03/03 15:49:33,192.168.11.36,192.168.10.13,,,untrunt to trust,,,incomplete,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 15:49:33,3197,1,42220,80,0,0,0x19,tcp,allow,592,592,0,8,2025/03/03 15:49:16,11,any,,7477495945886700984,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,8,0,aged-out,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T15:49:33.250+07:00,,,unknown,unknown,unknown,1,,,incomplete,no,no,0
1840,1,2025/03/03 15:49:33,21201168048,TRAFFIC,end,2562,2025/03/03 15:49:33,192.168.11.36,192.168.10.13,,,untrunt to trust,,,incomplete,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 15:49:33,3214,1,42352,80,0,0,0x19,tcp,allow,592,592,0,8,2025/03/03 15:49:16,12,any,,7477495945886701066,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,8,0,aged-out,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T15:49:33.336+07:00,,,unknown,unknown,unknown,1,,,incomplete,no,no,0
7478,1,2025/03/03 15:42:33,21201168048,TRAFFIC,start,2562,2025/03/03 15:42:33,192.168.11.36,192.168.10.13,,,untrunt to trust,,,web-browsing,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 15:42:33,55,1,46760,80,0,0,0x0,tcp,allow,301,227,74,4,2025/03/03 15:42:33,0,any,,7477495945886695428,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,3,1,,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T15:42:33.373+07:00,,,internet-utility,general-internet,browser-based,4,"used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use",,web-browsing,no,no,0
1335,1,2025/03/03 15:49:56,21201168048,TRAFFIC,end,2562,2025/03/03 15:49:56,192.168.11.36,192.168.10.13,,,untrunt to trust,,,web-browsing,vsys1,untrust,trust,ethernet1/4,ethernet1/3,,2025/03/03 15:49:56,2482,1,35666,80,0,0,0x1c,tcp,allow,1632,680,952,14,2025/03/03 15:49:14,25,any,,7477495945886701571,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,,7,7,tcp-fin,0,0,0,0,,PA-440,from-policy,,,0,,0,,,0,0,0,0,2b55c61c-7fd6-490b-9c51-54b27dcd5ed2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-03T15:49:56.251+07:00,,,internet-utility,general-internet,browser-based,4,"used-by-malware,able-to-transfer-file,has-known-vulnerability,tunnel-other-application,pervasive-use",,web-browsing,no,no,0
